ID,Variable,Short definition,Stage,Governed,Regulatory gap,Rate of risk,Suggested mitigation
1,Training data provenance,Sources and origin metadata for training datasets,Data,Partial,Moderate,Critical/Urgent,"Record source, obtain consent where needed, provenance tags: ATTESTATION"
2,Data quality controls,"Standards for labeling accuracy, consistency, and noise reduction",Data,Partial,Moderate,Critical/Urgent,"Establish QA pipelines, inter-annotator agreement, audits"
3,Personal data inclusion,"Use of personal, private, or sensitive data in training corpora",Data,Partial,Large,Critical/Urgent,"Remove PII, apply differential privacy and consent frameworks"
4,Dataset versioning & lineage,"Tracking changes, merges, and versions of datasets",Data,Partial,Moderate,High,Implement dataset registry and immutable versioning
5,Dataset deduplication rules,Methods and thresholds for removing duplicate records,Data,No,Moderate,High,"Define and automate deduplication, log decisions. ATTESTATION"
6,Label taxonomy choices,How labels/categories are defined and granularity,Data,No,Moderate,High,"Include stakeholder input, document taxonomies"
7,Labeler recruitment & incentives,"How annotators are selected, paid, and incentivized",Data,No,Large,High,"Fair pay, training, bias mitigation, audits"
8,Labeler instructions & guidelines,Guidance given to human annotators,Data,Partial,Moderate,High,"Standardize guidelines, examples, and review cycles"
9,Labeler quality monitoring,Ongoing checks on annotator performance,Data,No,Moderate,High,"Use gold tests, periodic review, and feedback"
10,Synthetic data generation practices,Creation and use of synthetic datasets,Data,No,Large,High,"Document synthesis methods, test for artifacts and bias"
11,Data augmentation techniques,"Transforms applied to expand data (e.g., noise, crop)",Data,No,Moderate,Medium,"Track augmentations, validate distributional impact"
12,Metadata retention & stripping,Policies for keeping or removing metadata from sources,Data,Partial,Large,High,"Strip identifiers, or store minimal metadata with protections"
13,Cross-border data transfers,Movement of dataset copies across jurisdictions,Legal/Compliance,Partial,Large,Critical/Urgent,"Comply with data transfer rules, use SCCs, localize data"
14,Consent & licensing compliance,Permissions and licenses for data use,Legal/Compliance,Partial,Large,Critical/Urgent,"Maintain license registry, get explicit consents"
15,Use of copyrighted/ licensed corpora,Training on proprietary or copyrighted materials,Legal/Compliance,Partial,Large,Critical/Urgent,"Seek licenses, record usage, consider exclusions"
16,Minority subpopulation exclusion criteria,Rules that exclude underrepresented groups from datasets,Data,No,Large,High,"Review inclusion criteria, create supplemental datasets"
17,Sampling strategies & priors,How training samples are selected and weighted,Data,No,Moderate,High,Document sampling schemes and justify priors
18,Holdout set construction,Creation of validation/test sets representative of deployment,Evaluation,Partial,Moderate,High,"Create immutable holdouts, diverse representation"
19,Unavailable or non-representative holdouts,Missing representative holdout datasets,Evaluation,No,Large,High,"Establish representative, guarded testbeds"
20,Benchmark selection & manipulation,Choice and possible gaming of evaluation benchmarks,Evaluation,No,Large,High,"Use multiple benchmarks, prefer realistic tasks"
21,Pretraining curriculum & sampling schedules,Order and timing of pretraining data exposure,Training & Tuning,No,Large,High,Document curriculum and test sensitivity to schedules
22,Pretraining objectives & loss functions,Choice of training objectives and surrogate losses,Model Design,Partial,Moderate,High,Evaluate objectives for alignment and robustness
23,Proxy objectives & reward shaping,Use of proxy metrics that may misalign incentives,Model Design,No,Large,Critical/Urgent,"Align proxies with human values, multi-objective training"
24,Model architecture choices,Design decisions for model structure and components,Model Design,Partial,Moderate,Medium,Document architecture rationale and evaluate failure modes
25,Tokenizer/vocabulary construction,How text is tokenized and vocabularies defined,Model Design,Partial,Moderate,Medium,Test on multilingual and edge-case inputs
26,Pretrained component reuse,Using external pretrained models or checkpoints,Tooling & Infrastructure,Partial,Moderate,High,"Vet provenance, evaluate inherited biases"
27,Transfer learning & fine-tuning data,Data used in subsequent fine-tuning phases,Training & Tuning,Partial,Moderate,High,"Audit fine-tune datasets, maintain lineage"
28,Iterative fine-tuning loops,Continuous adaptation loops post-deployment,Deployment Prep & Monitoring,No,Large,Critical/Urgent,"Apply gating, monitor drift, require approvals"
29,Hyperparameter tuning processes,Automated or manual search prioritizing performance,Training & Tuning,No,Moderate,Medium,Include safety objectives in tuning
30,Random-seed management & reproducibility,Control and documentation of randomness in experiments,Tooling & Infrastructure,No,Small,Medium,"Log seeds, make experiments reproducible"
31,Model pruning & compression choices,Techniques that change model capacity and behavior,Model Design,No,Moderate,Medium,Validate compressed models against original safety tests
32,Automated model-editing tools,Programmatic weight edits or patching,Tooling & Infrastructure,No,Large,High,"Restrict access, log edits, require review"
33,Embedding & intermediate artifact release,"Sharing embeddings, checkpoints, or features externally",Tooling & Infrastructure,Partial,Large,High,"Restrict releases, apply licensing and access controls"
34,Security of dev environments,"Protections against theft, poisoning, or leakage during research",Tooling & Infrastructure,Partial,Large,Critical/Urgent,"Harden environments, IAM, auditing, network controls"
35,Access to compute resources,Who can provision large-scale compute and how,Tooling & Infrastructure,No,Large,Critical/Urgent,"Access controls, approval workflows, monitoring"
36,Compute concentration risks,Centralized access enabling rapid capability scaling,Tooling & Infrastructure,No,Large,Critical/Urgent,"Diverse procurement, oversight of large jobs"
37,Dependency & library management,Third-party libraries and their vulnerabilities,Tooling & Infrastructure,Partial,Moderate,High,"Pin versions, CVE monitoring, SBOMs"
38,CI/CD gating for models,Automated pipelines for deployment with checks,Tooling & Infrastructure,Partial,Moderate,High,"Enforce safety gates, require approvals for releases"
39,Experiment metadata logging,"Recording parameters, datasets, outcomes of experiments",Tooling & Infrastructure,Partial,Moderate,High,Centralized experiment tracking and retention policies
40,Undocumented default settings,Default parameters in internal tools that are unrecorded,Tooling & Infrastructure,No,Moderate,High,Document defaults and require explicit overrides
41,Model interpretability tools usage,Availability and use of explainability methods in dev,Evaluation,Partial,Moderate,Medium,Integrate interpretable models and explanations into reviews
42,Internal evaluation criteria,Proprietary metrics that ignore fairness or safety,Evaluation,No,Large,High,Adopt multi-metric evaluations including safety/fairness
43,Adversarial robustness testing,Tests against adversarial inputs and attacks,Evaluation,Partial,Moderate,High,Regular adversarial testing and red-teaming
44,Red-team scope & resourcing,Extent and scale of adversarial testing exercises,Evaluation,No,Moderate,High,"Fund red teams, define scope, integrate findings"
45,Internal threat modeling practices,Structured threat analysis during design,Team & Processes,No,Moderate,High,Embed threat modeling in design sprints
46,Safety red-team tooling,Tools and harnesses for adversarial evaluation,Tooling & Infrastructure,No,Moderate,High,Develop internal tools and share learnings
47,Human-in-the-loop protocols,When humans intervene in model decisions,Deployment Prep & Monitoring,Partial,Moderate,Critical/Urgent,"Define HITL rules, training, and escalation paths"
48,Defaults for safety filters in dev builds,Safety filters enabled/disabled during internal testing,Tooling & Infrastructure,No,Large,Critical/Urgent,Ensure dev builds include realistic filters or label as unsafe
49,Moderation & content policy definitions,Internal safety policies for generated content,Policy,Partial,Moderate,High,"Standardize policies, align with law and ethics"
50,Prompt corpora & instruction sets,Internal prompts used to steer models during training,Training & Tuning,No,Large,High,Audit prompt corpora and document riskier instructions
51,Few-shot/one-shot example selection,Choosing examples for in-context learning,Training & Tuning,No,Moderate,Medium,Diversify examples and document selection rationale
52,Simulation environment fidelity,Realism of simulated environments used for RL or testing,Training & Tuning,No,Moderate,High,Validate sims against real-world distributions
53,Feedback-loop selection bias,Training on deployment logs that bias models,Data,No,Large,High,"Correct for selection bias, maintain separate evaluation sets"
54,Deployment logging & telemetry policies,What user data is logged and stored in deployment,Deployment Prep & Monitoring,Partial,Large,Critical/Urgent,"Minimize logs, anonymize, clear retention policies"
55,User data retention rules,How long user inputs are stored,Legal/Compliance,Partial,Large,Critical/Urgent,"Define retention limits, offer deletion mechanisms"
56,Anonymization & de-identification methods,Techniques to remove identifying info from data,Data,Partial,Moderate,High,"Use differential privacy, k-anonymity with evaluation"
57,Differential privacy application,Use of DP algorithms to protect individual data,Data,Partial,Moderate,High,Apply DP where personal data present; audit epsilon values
58,Synthetic user simulation methods,How synthetic users are generated for testing,Testing,No,Moderate,Medium,Document methods and test for artifacts
59,Model attribution & watermarking,Techniques to identify model outputs,Tooling & Infrastructure,No,Moderate,Medium,Consider watermarking for provenance and abuse tracking
60,Evaluation on vulnerable groups,Testing performance on protected or vulnerable populations,Evaluation,No,Large,Critical/Urgent,Ensure targeted audits and remedial data collection
61,Bias mitigation techniques,Methods applied to reduce model bias,Model Design,Partial,Moderate,High,"Implement and evaluate bias mitigation, document tradeoffs"
62,Accessibility testing standards,Testing for users with disabilities,Evaluation,No,Moderate,High,Include accessibility benchmarks and engage users with disabilities
63,Model calibration practices,Techniques to ensure output probabilities are meaningful,Model Design,No,Moderate,Medium,Calibrate models and monitor over time
64,Undisclosed performance tradeoffs,Hidden tradeoffs between accuracy and safety,Team & Processes,No,Large,High,Document tradeoffs and require sign-off for risky optimizations
65,Internal escalation paths for harms,How detected harms are escalated within org,Team & Processes,Partial,Moderate,Critical/Urgent,"Create clear escalation, roles, and timelines"
66,Responsible disclosure programs,Bug bounty and external vulnerability reporting,External Dependencies,Partial,Moderate,High,Establish programs and response SLAs
67,Third-party vendor vetting,"Due diligence for external data, models, or services",External Dependencies,Partial,Large,High,Vendor risk assessments and contractual safeguards
68,Federated learning protocols,How federated training is conducted and secured,Tooling & Infrastructure,No,Large,High,"Secure aggregation, incentive alignment, and audits"
69,Multi-party training governance,Governance of joint training across organizations,Legal/Compliance,No,Large,High,"Define governance, roles, liabilities, and data controls"
70,Economic/market incentives,Business incentives that influence development choices,Team & Processes,No,Large,Critical/Urgent,Align KPIs with safety and long-term impact
71,Research publication norms,What is shared in preprints and code releases,External Dependencies,Partial,Moderate,High,"Red-team before release, share safety notes with publications"
72,Open-source release policies,"Rules for releasing models, code, and weights",External Dependencies,Partial,Large,High,Risk assessments and staged release policies
73,Licensing choices for artifacts,License terms for released models and data,Legal/Compliance,Partial,Moderate,Medium,Choose licenses that limit misuse and ensure traceability
74,Model naming and documentation,How models are labeled and documented internally,Team & Processes,Partial,Small,Low,Standardized model cards and documentation templates
75,Model cards & datasheets availability,Public/internal docs describing models and datasets,Policy,Partial,Moderate,High,Publish model cards and datasheets for audits
76,Environmental/resource accounting,Carbon/emissions and resource costs of training,Tooling & Infrastructure,No,Moderate,Medium,"Track emissions, optimize efficiency, offset prudently"
77,Sustainability assumptions in design,Implicit assumptions about energy and resource use,Tooling & Infrastructure,No,Moderate,Low,Document assumptions and monitor resource use
78,Undisclosed multilingual support limits,Lack of documented performance per language,Evaluation,No,Moderate,High,Benchmark per language and document limitations
79,Rare-language & low-resource data handling,How minority languages are included or excluded,Data,No,Large,High,"Collect targeted corpora, engage native speakers"
80,Tokenizer handling of emojis/code/mixed scripts,Tokenizer behavior on diverse inputs,Model Design,No,Moderate,Medium,Test tokenizer on varied inputs and edge cases
81,Multimodal alignment rules,How cross-modal pairings are created and validated,Data,No,Large,High,Document pairing rules and validate alignment quality
82,Vision-language pairing fidelity,Quality of image-text pairs used in training,Data,No,Large,High,"Curate pairs, detect misalignments, manual review"
83,Labeler labor conditions,"Worker protections, pay, and mental-health safeguards",Team & Processes,No,Large,High,"Fair labor practices, rotations, support systems"
84,Compensation-linked quality effects,Effect of payment rates on label quality,Team & Processes,No,Moderate,Medium,Calibrate pay and QA to ensure quality
85,Internal knowledge silos,"Communication gaps between product, research, safety teams",Team & Processes,No,Moderate,High,"Cross-team meetings, shared documentation, governance boards"
86,Secret/test corpora handling,Management of private datasets used for evaluation,Data,No,Moderate,High,"Access controls, logging, and limited sharing policies"
87,Unlogged experiment branches,Experiments run without proper tracking,Tooling & Infrastructure,No,Moderate,High,Enforce experiment logging and approvals
88,Model ownership & stewardship,Clear assignment of responsibility for models,Team & Processes,Partial,Moderate,High,"Define owners, stewards, and lifecycle responsibilities"
89,Internal training for safety practices,Education and onboarding for safe development,Team & Processes,Partial,Moderate,High,Mandatory safety training and refreshers
90,Standards for human overrides,Rules for when humans can override model outputs,Deployment Prep & Monitoring,No,Moderate,Critical/Urgent,"Formalize override rules, auditing, and logging"
91,Fallback strategies for failures,Plans when model fails or produces unsafe output,Deployment Prep & Monitoring,No,Moderate,High,Define safe fallbacks and circuit breakers
92,Monitoring for distributional shift,Systems to detect data drift post-deployment,Deployment Prep & Monitoring,Partial,Moderate,High,Drift detectors and retraining triggers
93,Continuous monitoring SLAs,Agreed service levels for monitoring and response,Deployment Prep & Monitoring,No,Moderate,High,Define SLAs and incident response plans
94,Alerting thresholds & on-call rotations,Operational thresholds and personnel assignments,Deployment Prep & Monitoring,Partial,Moderate,High,"Define thresholds, runbooks, and rotations"
95,User reporting & remediation channels,How users report harms and get remediation,Deployment Prep & Monitoring,Partial,Moderate,High,Provide clear channels and timely responses
96,Responsible rollback procedures,Safe rollbacks for harmful releases,Deployment Prep & Monitoring,Partial,Moderate,Critical/Urgent,Test rollback procedures and authority
97,Model update policies,Frequency and governance of model updates,Team & Processes,Partial,Moderate,High,"Define update cadence, safety checks, and documentation"
98,A/B test ethics & sampling,Ethical procedures for experiments involving users,Deployment Prep & Monitoring,No,Large,High,Ethics review for A/B tests and informed consent when needed
99,User consent UX patterns,How consent is obtained and displayed,Legal/Compliance,Partial,Moderate,High,Clear consent UI and granular choices
100,Privacy-preserving deployment options,"Techniques for limited exposure of models (e.g., on-device)",Tooling & Infrastructure,Partial,Moderate,Medium,Explore on-device inference and encrypted computation
101,Encryption of data at rest and transit,Use of encryption for stored and transmitted data,Tooling & Infrastructure,Partial,Small,Medium,Enforce encryption and key management best practices
102,Key management practices,Handling of cryptographic keys,Tooling & Infrastructure,Partial,Moderate,High,Enterprise KMS and rotation policies
103,Access controls and IAM,"Who can access models, data, and infra",Tooling & Infrastructure,Partial,Moderate,Critical/Urgent,"Role-based access, least privilege, regular audits"
104,Insider threat detection,Monitoring for malicious or negligent insiders,Tooling & Infrastructure,No,Moderate,High,Behavioral analytics and strict access controls
105,Data poisoning detection,Methods to detect poisoned or malicious inputs during training,Evaluation,No,Large,High,Poison detection tools and anomalies monitoring
106,Supply chain risk for datasets,Risks from third-party data suppliers,External Dependencies,No,Large,High,Supply chain audits and contractual safeguards
107,Third-party model risk assessments,Evaluations of external pretrained models,External Dependencies,Partial,Moderate,High,Conduct security and safety assessments before use
108,SBOM for ML systems,Software bill of materials for model stacks,Tooling & Infrastructure,No,Moderate,Medium,Maintain SBOMs and dependency audits
109,Logging of data access and usage,Auditing who accessed which data and when,Tooling & Infrastructure,Partial,Moderate,High,Comprehensive access logs with retention and review
110,Anomaly detection in training data,Automated checks for unusual data patterns,Data,No,Moderate,High,Integrate anomaly detection in data pipelines
111,Undocumented sampling from web scrapes,Ad-hoc scraping without records or consent,Data,No,Large,Critical/Urgent,"Document scrapes, respect robots.txt and licenses"
112,Curation for harmful content removal,"Policies for excluding hate, extremism, or illegal content from datasets",Policy,Partial,Large,Critical/Urgent,Define exclusion criteria and review processes
113,Evaluation for hallucination propensity,Testing for tendency to invent facts,Evaluation,No,Moderate,High,Benchmark hallucinations and apply mitigations
114,Fact-checking integration,Use of external knowledge or tools to verify outputs,Model Design,Partial,Moderate,High,Integrate retrieval and verification layers with confidence scoring
115,Retrieval data freshness policies,How often knowledge bases used for retrieval are updated,Tooling & Infrastructure,No,Moderate,High,Define refresh cadences and stale-data mitigation
116,Indexing and search bias,Biases introduced in retrieval/indexing pipelines,Tooling & Infrastructure,No,Moderate,High,Audit retrieval ranking and promote fairness
117,Cold-start handling,Behavior when models encounter unseen inputs or users,Model Design,No,Moderate,Medium,Define safe defaults and unknown-handling strategies
118,Confidence estimation methods,How the model estimates and exposes uncertainty,Model Design,Partial,Moderate,High,Calibrate and surface uncertainties to downstream systems
119,Post-processing and filters,Rules applied to raw model outputs before delivery,Deployment Prep & Monitoring,Partial,Moderate,High,Document post-processing and test comprehensively
120,Edge-case & outlier definitions,What counts as an outlier and how it's handled,Team & Processes,No,Moderate,High,Define outlier criteria and handling procedures
