ID,Variable,Short definition,Domain,Ecosystem Layer,Stage,Origin,Governed,Regulatory Gap,Rate of Risk,Propagates To,Propagates From,Affected Actors,Suggested mitigation,STRAPS Status
SVM-001,Training data provenance,Sources and origin metadata for training datasets,Data science,Epistemic,Development,Endogenous,Partial,Moderate,Critical,SVM-003;SVM-014;SVM-015,SVM-111,Developers; regulators; affected communities,Record source; obtain consent where needed; provenance tags,Fails
SVM-002,Data quality controls,Standards for labeling accuracy consistency and noise reduction,Quality engineering,Epistemic,Development,Endogenous,Partial,Moderate,Critical,SVM-006;SVM-061,SVM-007;SVM-008,Developers; end users,Establish QA pipelines; inter-annotator agreement; audits,
SVM-003,Personal data inclusion,Use of personal private or sensitive data in training corpora,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,SVM-055;SVM-056;SVM-099,,Individuals; vulnerable groups,Remove PII; apply differential privacy and consent frameworks,
SVM-004,Dataset versioning & lineage,Tracking changes merges and versions of datasets,Data science,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-001;SVM-153,,Developers; auditors,Implement dataset registry and immutable versioning,
SVM-005,Dataset deduplication rules,Methods and thresholds for removing duplicate records,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-002,,Developers,Define and automate deduplication; log decisions,
SVM-006,Label taxonomy choices,How labels and categories are defined and granularity,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-002;SVM-061,,Developers; affected communities,Include stakeholder input; document taxonomies,
SVM-007,Labeler recruitment & incentives,How annotators are selected paid and incentivized,Human factors engineering,Social,Development,Endogenous,No,Large,High,SVM-008;SVM-009,,Annotators; developers,Fair pay; training; bias mitigation; audits,
SVM-008,Labeler instructions & guidelines,Guidance given to human annotators,Human factors engineering,Social,Development,Endogenous,Partial,Moderate,High,SVM-002;SVM-009,,Annotators; developers,Standardize guidelines; examples; and review cycles,
SVM-009,Labeler quality monitoring,Ongoing checks on annotator performance,Quality engineering,Epistemic,Development,Endogenous,No,Moderate,High,SVM-002,,Developers; annotators,Use gold tests; periodic review; and feedback,
SVM-010,Synthetic data generation practices,Creation and use of synthetic datasets,Data science,Epistemic,Development,Endogenous,No,Large,High,SVM-001;SVM-002,,Developers; affected communities,Document synthesis methods; test for artifacts and bias,
SVM-011,Data augmentation techniques,Transforms applied to expand data,Data science,Epistemic,Development,Endogenous,No,Moderate,Medium,SVM-002,,Developers,Track augmentations; validate distributional impact,
SVM-012,Metadata retention & stripping,Policies for keeping or removing metadata from sources,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,High,SVM-003;SVM-056,,Individuals; developers,Strip identifiers; or store minimal metadata with protections,
SVM-013,Cross-border data transfers,Movement of dataset copies across jurisdictions,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,SVM-003;SVM-126,,Regulators; individuals; developers,Comply with data transfer rules; use SCCs; localize data,
SVM-014,Consent & licensing compliance,Permissions and licenses for data use,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,SVM-015;SVM-073,,Developers; content creators; regulators,Maintain license registry; get explicit consents,
SVM-015,Use of copyrighted/licensed corpora,Training on proprietary or copyrighted materials,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,SVM-014;SVM-073,,Content creators; developers; regulators,Seek licenses; record usage; consider exclusions,
SVM-016,Minority subpopulation exclusion,Rules that exclude underrepresented groups from datasets,Human factors engineering,Social,Development,Endogenous,No,Large,High,SVM-061;SVM-148,,Marginalized communities; developers,Review inclusion criteria; create supplemental datasets,
SVM-017,Sampling strategies & priors,How training samples are selected and weighted,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-001;SVM-061,,Developers; affected communities,Document sampling schemes and justify priors,
SVM-018,Holdout set construction,Creation of validation and test sets representative of deployment,Quality engineering,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-020;SVM-060,,Developers; evaluators,Create immutable holdouts; diverse representation,
SVM-019,Unavailable or non-representative holdouts,Missing representative holdout datasets,Quality engineering,Epistemic,Development,Endogenous,No,Large,High,SVM-060;SVM-148,,Developers; affected communities,Establish representative guarded testbeds,
SVM-020,Benchmark selection & manipulation,Choice and possible gaming of evaluation benchmarks,Quality engineering,Epistemic,Development,Endogenous,No,Large,High,SVM-042;SVM-165,,Developers; researchers; regulators,Use multiple benchmarks; prefer realistic tasks,
SVM-021,Pretraining curriculum & sampling schedules,Order and timing of pretraining data exposure,Data science,Epistemic,Training,Endogenous,No,Large,High,SVM-022;SVM-023,,Developers,Document curriculum and test sensitivity to schedules,
SVM-022,Pretraining objectives & loss functions,Choice of training objectives and surrogate losses,Systems architecture,Epistemic,Training,Endogenous,Partial,Moderate,High,SVM-023;SVM-165,,Developers,Evaluate objectives for alignment and robustness,
SVM-023,Proxy objectives & reward shaping,Use of proxy metrics that may misalign incentives,Systems architecture,Epistemic,Training,Endogenous,No,Large,Critical,SVM-165;SVM-193,,Developers; society,Align proxies with human values; multi-objective training,
SVM-024,Model architecture choices,Design decisions for model structure and components,Systems architecture,Epistemic,Development,Endogenous,Partial,Moderate,Medium,SVM-031;SVM-136,,Developers,Document architecture rationale and evaluate failure modes,
SVM-025,Tokenizer/vocabulary construction,How text is tokenized and vocabularies defined,Systems architecture,Epistemic,Development,Endogenous,Partial,Moderate,Medium,SVM-078;SVM-080,,Developers; multilingual users,Test on multilingual and edge-case inputs,
SVM-026,Pretrained component reuse,Using external pretrained models or checkpoints,Systems architecture,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-027;SVM-107,,Developers; downstream users,Vet provenance; evaluate inherited biases,
SVM-027,Transfer learning & fine-tuning data,Data used in subsequent fine-tuning phases,Data science,Epistemic,Training,Endogenous,Partial,Moderate,High,SVM-028;SVM-153,,Developers,Audit fine-tune datasets; maintain lineage,
SVM-028,Iterative fine-tuning loops,Continuous adaptation loops post-deployment,Systems architecture,Epistemic,Operation,Endogenous,No,Large,Critical,SVM-092;SVM-121,,Developers; end users,Apply gating; monitor drift; require approvals,
SVM-029,Hyperparameter tuning processes,Automated or manual search prioritizing performance,Systems architecture,Epistemic,Training,Endogenous,No,Moderate,Medium,SVM-022;SVM-165,,Developers,Include safety objectives in tuning,
SVM-030,Random-seed management & reproducibility,Control and documentation of randomness in experiments,Systems architecture,Epistemic,Development,Endogenous,No,Small,Medium,SVM-039,,Developers; researchers,Log seeds; make experiments reproducible,
SVM-031,Model pruning & compression choices,Techniques that change model capacity and behavior,Systems architecture,Epistemic,Development,Endogenous,No,Moderate,Medium,SVM-024;SVM-043,,Developers,Validate compressed models against original safety tests,
SVM-032,Automated model-editing tools,Programmatic weight edits or patching,Systems architecture,Epistemic,Development,Endogenous,No,Large,High,SVM-034;SVM-087,,Developers; security teams,Restrict access; log edits; require review,
SVM-033,Embedding & intermediate artifact release,Sharing embeddings checkpoints or features externally,Systems architecture,Epistemic,Deployment,Endogenous,Partial,Large,High,SVM-072;SVM-152,,Developers; downstream users; regulators,Restrict releases; apply licensing and access controls,
SVM-034,Security of dev environments,Protections against theft poisoning or leakage during research,Physical security engineering,Physical,Development,Endogenous,Partial,Large,Critical,SVM-035;SVM-104,,Developers; organizations,Harden environments; IAM; auditing; network controls,
SVM-035,Access to compute resources,Who can provision large-scale compute and how,Data center operations,Physical,Training,Endogenous,No,Large,Critical,SVM-036;SVM-103,,Developers; researchers; society,Access controls; approval workflows; monitoring,
SVM-036,Compute concentration risks,Centralized access enabling rapid capability scaling,Data center operations,Economic,Training,Endogenous,No,Large,Critical,SVM-035;SVM-E006;SVM-E007,,Society; smaller developers; nations,Diverse procurement; oversight of large jobs,
SVM-037,Dependency & library management,Third-party libraries and their vulnerabilities,Firmware engineering,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-067;SVM-106,,Developers; security teams,Pin versions; CVE monitoring; SBOMs,
SVM-038,CI/CD gating for models,Automated pipelines for deployment with checks,Systems architecture,Epistemic,Deployment,Endogenous,Partial,Moderate,High,SVM-096;SVM-137,,Developers; operations teams,Enforce safety gates; require approvals for releases,
SVM-039,Experiment metadata logging,Recording parameters datasets outcomes of experiments,Systems architecture,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-030;SVM-087,,Developers; auditors,Centralized experiment tracking and retention policies,
SVM-040,Undocumented default settings,Default parameters in internal tools that are unrecorded,Systems architecture,Epistemic,Development,Endogenous,No,Moderate,High,SVM-064;SVM-087,,Developers; users,Document defaults and require explicit overrides,
SVM-041,Model interpretability tools usage,Availability and use of explainability methods in dev,Systems architecture,Epistemic,Development,Endogenous,Partial,Moderate,Medium,SVM-136;SVM-135,,Developers; regulators; affected users,Integrate interpretable models and explanations into reviews,
SVM-042,Internal evaluation criteria,Proprietary metrics that ignore fairness or safety,Quality engineering,Epistemic,Development,Endogenous,No,Large,High,SVM-020;SVM-064,,Developers; affected communities,Adopt multi-metric evaluations including safety and fairness,
SVM-043,Adversarial robustness testing,Tests against adversarial inputs and attacks,Safety engineering,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-044;SVM-046,,Developers; security teams,Regular adversarial testing and red-teaming,
SVM-044,Red-team scope & resourcing,Extent and scale of adversarial testing exercises,Safety engineering,Epistemic,Development,Endogenous,No,Moderate,High,SVM-043;SVM-149,,Developers; security teams,Fund red teams; define scope; integrate findings,
SVM-045,Internal threat modeling practices,Structured threat analysis during design,Risk management,Governance,Development,Endogenous,No,Moderate,High,SVM-034;SVM-044,,Developers; security teams,Embed threat modeling in design sprints,
SVM-046,Safety red-team tooling,Tools and harnesses for adversarial evaluation,Safety engineering,Epistemic,Development,Endogenous,No,Moderate,High,SVM-043;SVM-044,,Developers; security teams,Develop internal tools and share learnings,
SVM-047,Human-in-the-loop protocols,When humans intervene in model decisions,Human factors engineering,Governance,Deployment,Endogenous,Partial,Moderate,Critical,SVM-090;SVM-065,,Operators; affected individuals,Define HITL rules; training; and escalation paths,
SVM-048,Defaults for safety filters in dev builds,Safety filters enabled or disabled during internal testing,Safety engineering,Governance,Development,Endogenous,No,Large,Critical,SVM-112;SVM-119,,Developers; end users,Ensure dev builds include realistic filters or label as unsafe,
SVM-049,Moderation & content policy definitions,Internal safety policies for generated content,Regulatory compliance,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-112;SVM-143,,Developers; operators; users,Standardize policies; align with law and ethics,
SVM-050,Prompt corpora & instruction sets,Internal prompts used to steer models during training,Data science,Epistemic,Training,Endogenous,No,Large,High,SVM-168;SVM-169,,Developers; affected users,Audit prompt corpora and document riskier instructions,
SVM-051,Few-shot/one-shot example selection,Choosing examples for in-context learning,Data science,Epistemic,Training,Endogenous,No,Moderate,Medium,SVM-050,,Developers,Diversify examples and document selection rationale,
SVM-052,Simulation environment fidelity,Realism of simulated environments used for RL or testing,Systems architecture,Epistemic,Training,Endogenous,No,Moderate,High,SVM-023;SVM-164,,Developers,Validate sims against real-world distributions,
SVM-053,Feedback-loop selection bias,Training on deployment logs that bias models,Data science,Epistemic,Operation,Endogenous,No,Large,High,SVM-001;SVM-092,,Developers; affected communities,Correct for selection bias; maintain separate evaluation sets,
SVM-054,Deployment logging & telemetry policies,What user data is logged and stored in deployment,Regulatory compliance,Governance,Operation,Endogenous,Partial,Large,Critical,SVM-055;SVM-109,,Users; operators; regulators,Minimize logs; anonymize; clear retention policies,
SVM-055,User data retention rules,How long user inputs are stored,Regulatory compliance,Governance,Operation,Endogenous,Partial,Large,Critical,SVM-054;SVM-003,,Users; regulators,Define retention limits; offer deletion mechanisms,
SVM-056,Anonymization & de-identification methods,Techniques to remove identifying info from data,Data science,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-003;SVM-057,,Individuals; developers,Use differential privacy; k-anonymity with evaluation,
SVM-057,Differential privacy application,Use of DP algorithms to protect individual data,Data science,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-056;SVM-003,,Individuals; developers,Apply DP where personal data present; audit epsilon values,
SVM-058,Synthetic user simulation methods,How synthetic users are generated for testing,Data science,Epistemic,Development,Endogenous,No,Moderate,Medium,SVM-010;SVM-052,,Developers,Document methods and test for artifacts,
SVM-059,Model attribution & watermarking,Techniques to identify model outputs,Systems architecture,Epistemic,Deployment,Endogenous,No,Moderate,Medium,SVM-128;SVM-179,,Developers; content consumers,Consider watermarking for provenance and abuse tracking,
SVM-060,Evaluation on vulnerable groups,Testing performance on protected or vulnerable populations,Human factors engineering,Social,Development,Endogenous,No,Large,Critical,SVM-148;SVM-062,,Vulnerable populations; developers,Ensure targeted audits and remedial data collection,
SVM-061,Bias mitigation techniques,Methods applied to reduce model bias,Systems architecture,Social,Development,Endogenous,Partial,Moderate,High,SVM-016;SVM-148,,Affected communities; developers,Implement and evaluate bias mitigation; document tradeoffs,
SVM-062,Accessibility testing standards,Testing for users with disabilities,Human factors engineering,Social,Development,Endogenous,No,Moderate,High,SVM-060,,Users with disabilities; developers,Include accessibility benchmarks and engage users with disabilities,
SVM-063,Model calibration practices,Techniques to ensure output probabilities are meaningful,Systems architecture,Epistemic,Training,Endogenous,No,Moderate,Medium,SVM-118;SVM-113,,Developers; end users,Calibrate models and monitor over time,
SVM-064,Undisclosed performance tradeoffs,Hidden tradeoffs between accuracy and safety,Systems architecture,Epistemic,Development,Endogenous,No,Large,High,SVM-042;SVM-136,,Developers; affected users; regulators,Document tradeoffs and require sign-off for risky optimizations,
SVM-065,Internal escalation paths for harms,How detected harms are escalated within org,Risk management,Governance,Operation,Endogenous,Partial,Moderate,Critical,SVM-095;SVM-096,,Operators; affected individuals,Create clear escalation; roles; and timelines,
SVM-066,Responsible disclosure programs,Bug bounty and external vulnerability reporting,Risk management,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-095;SVM-066,,Security researchers; developers; users,Establish programs and response SLAs,
SVM-067,Third-party vendor vetting,Due diligence for external data models or services,Strategic sourcing,Governance,Development,Endogenous,Partial,Large,High,SVM-106;SVM-107,,Developers; downstream users,Vendor risk assessments and contractual safeguards,
SVM-068,Federated learning protocols,How federated training is conducted and secured,Systems architecture,Epistemic,Training,Endogenous,No,Large,High,SVM-069;SVM-034,,Developers; data contributors,Secure aggregation; incentive alignment; and audits,
SVM-069,Multi-party training governance,Governance of joint training across organizations,Regulatory compliance,Governance,Training,Endogenous,No,Large,High,SVM-068;SVM-134,,Organizations; regulators,Define governance; roles; liabilities; and data controls,
SVM-070,Economic/market incentives,Business incentives that influence development choices,Program management,Economic,Development,Endogenous,No,Large,Critical,SVM-160;SVM-023,,Developers; society; affected communities,Align KPIs with safety and long-term impact,
SVM-071,Research publication norms,What is shared in preprints and code releases,Risk management,Epistemic,Deployment,Endogenous,Partial,Moderate,High,SVM-072;SVM-033,,Researchers; developers; society,Red-team before release; share safety notes with publications,
SVM-072,Open-source release policies,Rules for releasing models code and weights,Risk management,Governance,Deployment,Endogenous,Partial,Large,High,SVM-033;SVM-152,,Developers; downstream users; society,Risk assessments and staged release policies,
SVM-073,Licensing choices for artifacts,License terms for released models and data,Regulatory compliance,Governance,Deployment,Endogenous,Partial,Moderate,Medium,SVM-014;SVM-015,,Developers; users; content creators,Choose licenses that limit misuse and ensure traceability,
SVM-074,Model naming and documentation,How models are labeled and documented internally,Program management,Epistemic,Development,Endogenous,Partial,Small,Low,SVM-075;SVM-140,,Developers; operators,Standardized model cards and documentation templates,
SVM-075,Model cards & datasheets availability,Public and internal docs describing models and datasets,Risk management,Governance,Deployment,Endogenous,Partial,Moderate,High,SVM-147;SVM-123,,Developers; regulators; users,Publish model cards and datasheets for audits,
SVM-076,Environmental/resource accounting,Carbon and emissions and resource costs of training,Carbon accounting,Ecological,Training,Endogenous,No,Moderate,High,SVM-E001;SVM-E002;SVM-E003,SVM-E008,Developers; society; planet,Track emissions; optimize efficiency; offset prudently,
SVM-077,Sustainability assumptions in design,Implicit assumptions about energy and resource use,Carbon accounting,Ecological,Development,Endogenous,No,Moderate,High,SVM-076;SVM-E001,,Developers; society,Document assumptions and monitor resource use,
SVM-078,Undisclosed multilingual support limits,Lack of documented performance per language,Human factors engineering,Social,Deployment,Endogenous,No,Moderate,High,SVM-025;SVM-079,,Non-English speakers; developers,Benchmark per language and document limitations,
SVM-079,Rare-language & low-resource data handling,How minority languages are included or excluded,Data science,Social,Development,Endogenous,No,Large,High,SVM-078;SVM-016,,Language communities; developers,Collect targeted corpora; engage native speakers,
SVM-080,Tokenizer handling of diverse inputs,Tokenizer behavior on emojis code and mixed scripts,Systems architecture,Epistemic,Development,Endogenous,No,Moderate,Medium,SVM-025,,Developers; diverse users,Test tokenizer on varied inputs and edge cases,
SVM-081,Multimodal alignment rules,How cross-modal pairings are created and validated,Data science,Epistemic,Development,Endogenous,No,Large,High,SVM-082;SVM-001,,Developers,Document pairing rules and validate alignment quality,
SVM-082,Vision-language pairing fidelity,Quality of image-text pairs used in training,Data science,Epistemic,Development,Endogenous,No,Large,High,SVM-081;SVM-002,,Developers; affected communities,Curate pairs; detect misalignments; manual review,
SVM-083,Labeler labor conditions,Worker protections pay and mental-health safeguards,Human factors engineering,Social,Development,Endogenous,No,Large,High,SVM-007;SVM-084,,Annotators; labor advocates,Fair labor practices; rotations; support systems,
SVM-084,Compensation-linked quality effects,Effect of payment rates on label quality,Human factors engineering,Social,Development,Endogenous,No,Moderate,Medium,SVM-002;SVM-009,,Annotators; developers,Calibrate pay and QA to ensure quality,
SVM-085,Internal knowledge silos,Communication gaps between product research and safety teams,Program management,Governance,Development,Endogenous,No,Moderate,High,SVM-064;SVM-134,,Developers; operators; affected users,Cross-team meetings; shared documentation; governance boards,
SVM-086,Secret/test corpora handling,Management of private datasets used for evaluation,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-001;SVM-034,,Developers; auditors,Access controls; logging; and limited sharing policies,
SVM-087,Unlogged experiment branches,Experiments run without proper tracking,Systems architecture,Epistemic,Development,Endogenous,No,Moderate,High,SVM-039;SVM-064,,Developers; auditors,Enforce experiment logging and approvals,
SVM-088,Model ownership & stewardship,Clear assignment of responsibility for models,Program management,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-140;SVM-146,,Developers; operators; regulators,Define owners; stewards; and lifecycle responsibilities,
SVM-089,Internal training for safety practices,Education and onboarding for safe development,Safety engineering,Governance,Development,Endogenous,Partial,Moderate,High,SVM-065;SVM-180,,Developers; operators,Mandatory safety training and refreshers,
SVM-090,Standards for human overrides,Rules for when humans can override model outputs,Human factors engineering,Governance,Operation,Endogenous,No,Moderate,Critical,SVM-047;SVM-065,,Operators; affected individuals,Formalize override rules; auditing; and logging,
SVM-091,Fallback strategies for failures,Plans when model fails or produces unsafe output,Safety engineering,Governance,Operation,Endogenous,No,Moderate,High,SVM-096;SVM-142,,Operators; users,Define safe fallbacks and circuit breakers,
SVM-092,Monitoring for distributional shift,Systems to detect data drift post-deployment,Systems architecture,Epistemic,Operation,Endogenous,Partial,Moderate,High,SVM-028;SVM-053,,Developers; operators,Drift detectors and retraining triggers,
SVM-093,Continuous monitoring SLAs,Agreed service levels for monitoring and response,Program management,Governance,Operation,Endogenous,No,Moderate,High,SVM-094;SVM-065,,Operators; users,Define SLAs and incident response plans,
SVM-094,Alerting thresholds & on-call rotations,Operational thresholds and personnel assignments,Data center operations,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-093;SVM-065,,Operators; users,Define thresholds; runbooks; and rotations,
